Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,3-Apr-19,93,7.67,5.36,0.9,6,-3.5,86.9,59.2,1.1,5.3,3,0.529,0,-1.5,1.1,-5.9,NA,NA,NA,NA,0.555,0.383,22.03
PK,4-Apr-19,94,13.01,8.83,1.8,8.3,-6.3,74.9,44.9,1,4.6,0,0.517,0.2,-2.9,1.5,-10.1,NA,NA,NA,NA,0.49,0.601,22.29
PK,5-Apr-19,95,7.49,5.01,1.4,5.6,-2.9,86.3,69,1.5,4.9,8.48,0.583,0.1,-0.8,0.7,-10.7,NA,NA,NA,NA,0.627,0.282,22.55
PK,6-Apr-19,96,10.2,8.69,-2.1,3.4,-9,89.9,71.8,1.1,5.9,0,0.547,-0.1,-6.7,0.9,-19.4,NA,NA,NA,NA,0.56,0.22,22.8
PK,7-Apr-19,97,17.92,13.67,0.4,6.7,-6.8,72.7,36,1.8,7.4,1.76,0.529,0.1,-2.8,1.3,-11.2,NA,NA,NA,NA,0.353,0.628,23.06
PK,8-Apr-19,98,10.81,7.58,-0.5,4.7,-8.5,83.4,53.5,1.1,5.1,2,0.521,0,-3.6,1.2,-12.8,NA,NA,NA,NA,0.456,0.396,23.31
PK,9-Apr-19,99,14.87,10.78,0.9,5,-1.6,84.8,57.6,1.9,6.8,1,0.516,0.2,-1,1.1,-5,NA,NA,NA,NA,0.501,0.369,23.56
PK,10-Apr-19,100,7.88,6.47,-1,2.4,-3.9,87.3,60.2,2,6.5,6.49,0.566,0,-3,0,-14.3,NA,NA,NA,NA,0.438,0.29,23.81
PK,11-Apr-19,101,13.54,11.06,-1.7,5.4,-6.2,79.3,40.2,0.9,3.9,0,0.531,0.1,-4.9,0.8,-16.4,NA,NA,NA,NA,0.361,0.537,24.05
PK,12-Apr-19,102,12.69,9.75,-1.3,4.8,-8.3,76.7,45.7,1.1,4.3,0,0.529,0,-5,1.4,-13.5,NA,NA,NA,NA,0.392,0.466,24.3
PK,13-Apr-19,103,5.09,4.64,-1.6,2.8,-6.4,91,75.8,1.2,8.1,7.62,0.595,-0.6,-3.6,0.3,-11.7,NA,NA,NA,NA,0.564,0.18,24.53
PK,14-Apr-19,104,17.46,14.87,-1.3,5.2,-4.7,66.1,34.3,2.6,7.3,0,0.569,0,-4.8,1.1,-10.1,NA,NA,NA,NA,0.303,0.58,24.78
PK,15-Apr-19,105,14.94,12.07,-2.6,6.6,-10.3,68.8,33.8,0.8,3.5,0,0.552,-0.2,-7.9,1.3,-18.7,NA,NA,NA,NA,0.328,0.642,25.02
